% EPOCH OF MEASUREMENT
DATE LAT LON ELLHGT SDLAT SDLON SDHGT EAST NORTH UP
2015-07-18 13.735991131 100.533934886 74.314 0.0019 0.0027 0.0067	0.007787 -0.007634 0.018000
2015-07-19 13.735991133 100.533934892 74.309 0.0019 0.0027 0.0065	0.008436 -0.007413 0.013000
2015-07-20 13.735991133 100.533934892 74.308 0.0018 0.0027 0.0063	0.008436 -0.007413 0.012000
2015-07-21 13.735991139 100.533934883 74.304 0.0019 0.0028 0.0063	0.007463 -0.006749 0.008000
2015-07-22 13.735991139 100.533934892 74.306 0.0019 0.0029 0.0061	0.008436 -0.006749 0.010000
2015-07-23 13.735991128 100.533934897 74.302 0.0019 0.0028 0.0062	0.008977 -0.007966 0.006000
2015-07-24 13.735991136 100.533934906 74.309 0.0020 0.0034 0.0063	0.009950 -0.007081 0.013000
2015-07-25 13.735991119 100.533934889 74.311 0.0020 0.0029 0.0065	0.008112 -0.008962 0.015000
2015-07-26 13.735991150 100.533934872 74.312 0.0019 0.0027 0.0064	0.006273 -0.005532 0.016000
2015-07-27 13.735991142 100.533934878 74.308 0.0020 0.0028 0.0065	0.006922 -0.006417 0.012000
2015-07-28 13.735991119 100.533934889 74.303 0.0020 0.0027 0.0064	0.008112 -0.008962 0.007000
2015-07-29 13.735991128 100.533934847 74.302 0.0020 0.0029 0.0065	0.003569 -0.007966 0.006000
2015-07-30 13.735991125 100.533934894 74.301 0.0020 0.0029 0.0064	0.008653 -0.008298 0.005000
2015-07-31 13.735991142 100.533934878 74.291 0.0020 0.0038 0.0064	0.006922 -0.006417 -0.005000
2015-08-01 13.735991128 100.533934878 74.296 0.0020 0.0027 0.0065	0.006922 -0.007966 -0.000000
2015-08-02 13.735991142 100.533934872 74.299 0.0020 0.0030 0.0065	0.006273 -0.006417 0.003000
2015-08-03 13.735991128 100.533934847 74.305 0.0020 0.0039 0.0067	0.003569 -0.007966 0.009000
2015-08-04 13.735991114 100.533934883 74.304 0.0020 0.0028 0.0068	0.007463 -0.009515 0.008000
2015-08-05 13.735991125 100.533934881 74.307 0.0019 0.0027 0.0066	0.007247 -0.008298 0.011000
2015-08-06 13.735991139 100.533934883 74.298 0.0020 0.0029 0.0066	0.007463 -0.006749 0.002000
2015-08-07 13.735991142 100.533934919 74.297 0.0020 0.0029 0.0065	0.011357 -0.006417 0.001000
2015-08-08 13.735991147 100.533934914 74.299 0.0020 0.0027 0.0064	0.010816 -0.005864 0.003000
2015-08-09 13.735991144 100.533934914 74.305 0.0020 0.0027 0.0066	0.010816 -0.006196 0.009000
2015-08-10 13.735991136 100.533934894 74.306 0.0021 0.0035 0.0066	0.008653 -0.007081 0.010000
2015-08-11 13.735991131 100.533934908 74.302 0.0020 0.0030 0.0068	0.010167 -0.007634 0.006000
2015-08-12 13.735991139 100.533934922 74.301 0.0020 0.0040 0.0069	0.011681 -0.006749 0.005000
2015-08-13 13.735991150 100.533934931 74.317 0.0020 0.0030 0.0066	0.012654 -0.005532 0.021000
2015-08-14 13.735991131 100.533934900 74.299 0.0019 0.0031 0.0068	0.009302 -0.007634 0.003000
2015-08-15 13.735991128 100.533934906 74.302 0.0019 0.0027 0.0066	0.009950 -0.007966 0.006000
2015-08-16 13.735991150 100.533934914 74.304 0.0019 0.0032 0.0065	0.010816 -0.005532 0.008000
2015-08-17 13.735991158 100.533934919 74.318 0.0018 0.0029 0.0066	0.011357 -0.004647 0.022000
2015-08-18 13.735991144 100.533934911 74.311 0.0020 0.0032 0.0066	0.010491 -0.006196 0.015000
2015-08-19 13.735991122 100.533934939 74.300 0.0019 0.0027 0.0065	0.013520 -0.008630 0.004000
2015-08-20 13.735991083 100.533934903 74.308 0.0020 0.0033 0.0063	0.009626 -0.012945 0.012000
2015-08-21 13.735991119 100.533934956 74.301 0.0020 0.0038 0.0063	0.015358 -0.008962 0.005000
2015-08-22 13.735991131 100.533934958 74.299 0.0019 0.0038 0.0062	0.015575 -0.007634 0.003000
2015-08-23 13.735991133 100.533934944 74.302 0.0020 0.0039 0.0061	0.014060 -0.007413 0.006000
2015-08-24 13.735991131 100.533934956 74.306 0.0019 0.0039 0.0066	0.015358 -0.007634 0.010000
2015-08-25 13.735991125 100.533934881 74.306 0.0019 0.0044 0.0066	0.007247 -0.008298 0.010000
2015-08-26 13.735991117 100.533934931 74.305 0.0019 0.0038 0.0065	0.012654 -0.009183 0.009000
2015-08-27 13.735991131 100.533934925 74.296 0.0019 0.0039 0.0062	0.012005 -0.007634 -0.000000
2015-08-28 13.735991117 100.533934928 74.300 0.0019 0.0037 0.0063	0.012330 -0.009183 0.004000
2015-08-29 13.735991103 100.533934944 74.295 0.0019 0.0037 0.0062	0.014060 -0.010732 -0.001000
2015-08-30 13.735991119 100.533934906 74.295 0.0020 0.0039 0.0062	0.009950 -0.008962 -0.001000
2015-08-31 13.735991125 100.533934892 74.295 0.0019 0.0034 0.0061	0.008436 -0.008298 -0.001000
2015-09-01 13.735991122 100.533934931 74.285 0.0019 0.0050 0.0063	0.012654 -0.008630 -0.011000
2015-09-02 13.735991111 100.533934917 74.292 0.0020 0.0040 0.0064	0.011140 -0.009847 -0.004000
2015-09-03 13.735991097 100.533934889 74.306 0.0020 0.0033 0.0063	0.008112 -0.011396 0.010000
2015-09-04 13.735991106 100.533934911 74.300 0.0019 0.0037 0.0062	0.010491 -0.010400 0.004000
2015-09-05 13.735991122 100.533934906 74.301 0.0019 0.0037 0.0066	0.009950 -0.008630 0.005000
2015-09-06 13.735991106 100.533934933 74.302 0.0019 0.0036 0.0062	0.012871 -0.010400 0.006000
2015-09-07 13.735991122 100.533934942 74.298 0.0019 0.0038 0.0061	0.013844 -0.008630 0.002000
2015-09-08 13.735991125 100.533934922 74.297 0.0019 0.0028 0.0060	0.011681 -0.008298 0.001000
2015-09-09 13.735991133 100.533934919 74.294 0.0020 0.0029 0.0063	0.011357 -0.007413 -0.002000
2015-09-10 13.735991128 100.533934922 74.303 0.0019 0.0028 0.0061	0.011681 -0.007966 0.007000
2015-09-11 13.735991119 100.533934936 74.301 0.0019 0.0029 0.0062	0.013195 -0.008962 0.005000
2015-09-12 13.735991125 100.533934922 74.293 0.0019 0.0031 0.0062	0.011681 -0.008298 -0.003000
2015-09-13 13.735991150 100.533934950 74.283 0.0019 0.0028 0.0061	0.014709 -0.005532 -0.013000
2015-09-14 13.735991144 100.533934947 74.298 0.0019 0.0031 0.0061	0.014385 -0.006196 0.002000
2015-09-15 13.735991139 100.533934928 74.295 0.0019 0.0031 0.0061	0.012330 -0.006749 -0.001000
2015-09-16 13.735991139 100.533934947 74.288 0.0019 0.0036 0.0061	0.014385 -0.006749 -0.008000
2015-09-17 13.735991128 100.533934933 74.288 0.0019 0.0028 0.0062	0.012871 -0.007966 -0.008000
2015-09-18 13.735991131 100.533934925 74.288 0.0019 0.0028 0.0062	0.012005 -0.007634 -0.008000
2015-09-19 13.735991139 100.533934925 74.292 0.0019 0.0028 0.0061	0.012005 -0.006749 -0.004000
2015-09-20 13.735991131 100.533934936 74.292 0.0019 0.0028 0.0061	0.013195 -0.007634 -0.004000
2015-09-21 13.735991142 100.533934939 74.305 0.0019 0.0028 0.0060	0.013520 -0.006417 0.009000
2015-09-22 13.735991131 100.533934931 74.298 0.0019 0.0028 0.0060	0.012654 -0.007634 0.002000
2015-09-23 13.735991139 100.533934947 74.297 0.0019 0.0028 0.0059	0.014385 -0.006749 0.001000
2015-09-24 13.735991139 100.533934944 74.298 0.0020 0.0030 0.0062	0.014060 -0.006749 0.002000
